Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Ince, M",,,,"Ince, Murat",,,BiLSTM and dynamic fuzzy AHP-GA method for procedural game level generation,NEURAL COMPUTING & APPLICATIONS,,,,,,,,,,,,,,,,,"ince, murat/HNR-7133-2023","ince, murat/0000-0001-5566-5008",,,,,,,,,,,,,0941-0643,1433-3058,,,,AUG,2021,33,15,,,,,9761,9773,,10.1007/s00521-021-06180-7,http://dx.doi.org/10.1007/s00521-021-06180-7,,JUN 2021,,,,,,34177127,,,,,WOS:000663470300003,View Full Record in Web of Science
C,"Alves, T; Coelho, J; Nogueira, L",,"Silhavy, R; Silhavy, P; Prokopova, Z",,"Alves, Tiago; Coelho, Jorge; Nogueira, Luis",,,Content Generation for Massively Multiplayer Online Games with Genetic Algorithms,"APPLIED COMPUTATIONAL INTELLIGENCE AND MATHEMATICAL METHODS: COMPUTATIONAL METHODS IN SYSTEMS AND SOFTWARE 2017, VOL. 2",Advances in Intelligent Systems and Computing,,,,Conference on Computational Methods in Systems and Software (CoMeSySo),"SEP 12-14, 2017","Vsetin, CZECH REPUBLIC",OpenPublish eu s r o,,,,,,,,,"Coelho, Jorge/A-1075-2014","Coelho, Jorge/0000-0002-3395-6426; Nogueira, Luis/0000-0002-7094-0458",,,,,,,,,,,,,2194-5357,2194-5365,978-3-319-67621-0,,,,2018,662,,,,,,37,49,,10.1007/978-3-319-67621-0_4,http://dx.doi.org/10.1007/978-3-319-67621-0_4,,,,,,,,,,,,,WOS:000440507200004,View Full Record in Web of Science
C,"Fadaeddini, A; Majidi, B; Eshghi, M",,,IEEE,"Fadaeddini, Amin; Majidi, Babak; Eshghi, Mohammad",,,A Case Study of Generative Adversarial Networks for Procedural Synthesis of Original Textures in Video Games,"2018 2ND NATIONAL AND 1ST INTERNATIONAL DIGITAL GAMES RESEARCH CONFERENCE: TRENDS, TECHNOLOGIES, AND APPLICATIONS (DGRC)",,,,,"2nd National and 1st International Digital Games Research Conference - Trends, Technologies, and Applications (DGRC)","NOV 29-30, 2018","Tehran, IRAN","DIREC,Iran Comp & Video Games Fdn,Univ Islam Republ Iran Broadcasting,Digital Games Res Ctr",,,,,,,,,"Majidi, Babak/AAB-2365-2019","Majidi, Babak/0000-0001-6309-6407",,,,,,,,,,,,,,,978-1-7281-1114-8,,,,2018,,,,,,,118,122,,,,,,,,,,,,,,,,WOS:000470221500017,View Full Record in Web of Science
J,"Liu, JL; Snodgrass, S; Khalifa, A; Risi, S; Yannakakis, GN; Togelius, J",,,,"Liu, Jialin; Snodgrass, Sam; Khalifa, Ahmed; Risi, Sebastian; Yannakakis, Georgios N.; Togelius, Julian",,,Deep learning for procedural content generation,NEURAL COMPUTING & APPLICATIONS,,,,,,,,,,,,,,,,,"LIU, Jialin/M-3290-2018; Yannakakis, Georgios N./R-9213-2016","LIU, Jialin/0000-0001-7047-8454; Yannakakis, Georgios N./0000-0001-7793-1450; Khalifa, Ahmed/0000-0002-7839-9432; Togelius, Julian/0000-0003-3128-4598",,,,,,,,,,,,,0941-0643,1433-3058,,,,JAN,2021,33,1,,,SI,,19,37,,10.1007/s00521-020-05383-8,http://dx.doi.org/10.1007/s00521-020-05383-8,,OCT 2020,,,,,,,,,,,WOS:000578329200003,View Full Record in Web of Science
C,"Viana, BMF; dos Santos, SR",,,IEEE,"Viana, Breno M. F.; dos Santos, Selan R.",,,A Survey of Procedural Dungeon Generation,2019 18TH BRAZILIAN SYMPOSIUM ON COMPUTER GAMES AND DIGITAL ENTERTAINMENT (SBGAMES 2019),Brazilian Symposium on Games and Digital Entertainment SBGAMES,,,,18th Brazilian Symposium on Computer Games and Digital Entertainment (SBGames),"OCT 28-31, 2019","Rio De Janeiro, BRAZIL","CAPES,Conselho Nacl Desenvolvimento Cientifico Tecnologico,Fundacao Carlos Chagas Filho Amparo Pesquisa Estado Rio Janeiro",,,,,,,,,,"Viana, Breno/0000-0003-3441-508X",,,,,,,,,,,,,2159-6654,2159-6662,978-1-7281-4637-9,,,,2019,,,,,,,29,38,,10.1109/SBGames.2019.00015,http://dx.doi.org/10.1109/SBGames.2019.00015,,,,,,,,,,,,,WOS:000522226400003,View Full Record in Web of Science
C,"de Lima, ES; Feijo, B; Furtado, AL",,,IEEE,"de Lima, Edirlei Soares; Feijo, Bruno; Furtado, Antonio L.",,,Procedural Generation of Quests for Games Using Genetic Algorithms and Automated Planning,2019 18TH BRAZILIAN SYMPOSIUM ON COMPUTER GAMES AND DIGITAL ENTERTAINMENT (SBGAMES 2019),Brazilian Symposium on Games and Digital Entertainment SBGAMES,,,,18th Brazilian Symposium on Computer Games and Digital Entertainment (SBGames),"OCT 28-31, 2019","Rio De Janeiro, BRAZIL","CAPES,Conselho Nacl Desenvolvimento Cientifico Tecnologico,Fundacao Carlos Chagas Filho Amparo Pesquisa Estado Rio Janeiro",,,,,,,,,"de Lima, Edirlei Soares/ABB-7904-2020; Feijo, Bruno/AAE-1603-2022","de Lima, Edirlei Soares/0000-0002-2617-3394; Feijo, Bruno/0000-0003-4441-2632",,,,,,,,,,,,,2159-6654,2159-6662,978-1-7281-4637-9,,,,2019,,,,,,,144,153,,10.1109/SBGames.2019.00028,http://dx.doi.org/10.1109/SBGames.2019.00028,,,,,,,,,,,,,WOS:000522226400015,View Full Record in Web of Science
C,"Campos, JPA; Rieder, R",,,IEEE,"Assuncao Campos, Joao Pedro; Rieder, Rafael",,,Procedural Content Generation using Artificial Intelligence for Unique Virtual Reality Game Experiences,2019 21ST SYMPOSIUM ON VIRTUAL AND AUGMENTED REALITY (SVR 2019),Symposium on Virtual and Augmented Reality,,,,21st Symposium on Virtual and Augmented Reality (SVR),"OCT 28-31, 2019","Rio de Janeiro, BRAZIL","CAPES,FAPERJ,CNPq,PUC Rio, Tecgraf,NVIDIA,Firjan SENAI,Prefeitura Niteroi Trabalhando Serio Superando Desafios,Cultura Nileroi,PUC Rio,Univ Fed Fluminense",,,,,,,,,,,,,,,,,,,,,,,2377-746X,,978-1-7281-5434-3,,,,2019,,,,,,,147,151,,10.1109/SVR.2019.00037,http://dx.doi.org/10.1109/SVR.2019.00037,,,,,,,,,,,,,WOS:000534536600021,View Full Record in Web of Science
C,"Zafar, A; Irfan, A; Sabir, MZ",,,IEEE,"Zafar, Adeel; Irfan, Ayesha; Sabir, Muhammad Zeeshan",,,Generating General Levels using Markov Chains,2019 11TH COMPUTER SCIENCE AND ELECTRONIC ENGINEERING (CEEC),Computer Science and Electronic Engineering Conference,,,,11th Computer Science and Electronic Engineering Conference (CEEC),"SEP 18-20, 2019","Univ Essex, Essex, ENGLAND",IEEE UKRI Comp Chapter,Univ Essex,,,,,,,,,"Sabir, Muhammad Zeeshan/0000-0001-9131-4061",,,,,,,,,,,,,2472-1530,,978-1-7281-2952-5,,,,2019,,,,,,,134,138,,,,,,,,,,,,,,,,WOS:000539933500025,View Full Record in Web of Science
J,"Brown, JA; Lutfullin, B; Oreshin, P; Pyatkin, I",,,,"Brown, Joseph Alexander; Lutfullin, Bulat; Oreshin, Pavel; Pyatkin, Ilya",,,Levels for Hotline Miami 2: Wrong Number Using Procedural Content Generations,COMPUTERS,,,,,,,,,,,,,,,,,"Brown, Joseph/T-5406-2017","Brown, Joseph/0000-0002-6513-4929",,,,,,,,,,,,,2073-431X,,,,,JUN,2018,7,2,,,,,,,22,10.3390/computers7020022,http://dx.doi.org/10.3390/computers7020022,,,,,,,,,,,,,WOS:000436492500003,View Full Record in Web of Science
J,"Karkaj, AM; Lotfi, S",,,,"Karkaj, Arash Moradi; Lotfi, Shahriar",,,Using estimation of distribution algorithm for procedural content generation in video games,GENETIC PROGRAMMING AND EVOLVABLE MACHINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1389-2576,1573-7632,,,,DEC,2022,23,4,,,,,495,533,,10.1007/s10710-022-09442-y,http://dx.doi.org/10.1007/s10710-022-09442-y,,AUG 2022,,,,,,,,,,,WOS:000836419300001,View Full Record in Web of Science
